Unnamed: 0,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
47,0,********,2,1,1,1,1,1,2.1458942516082424,0,0,67,72,77
49,1,********,2,1,0,1,2,2,3.0,2,0,82,84,82
50,1,********,4,1,1,1,3,0,3.0,1,2,54,55,48
51,1,********,0,0,0,1,1,0,2.0,0,1,76,68,68
52,1,********,4,1,1,0,1,1,3.0,1,2,56,45,43
53,1,********,2,1,1,2,2,1,2.0,1,0,88,78,75
54,0,********,5,0,0,1,1,1,2.1458942516082424,0,2,75,86,90
55,0,********,2,0,1,0,2,1,2.0,0,0,33,41,43
56,0,********,0,1,0,1,2,1,3.0,1,2,84,86,87
57,1,********,0,1,1,2,2,0,2.0,0,0,52,55,49
58,1,********,6,1,0,1,1,0,1.0,0,2,61,60,60
59,0,********,5,0,1,2,1,1,3.0,1,2,0,17,10
61,1,********,5,0,1,1,2,1,2.1458942516082424,1,0,39,39,34
62,1,********,0,0,1,1,2,1,5.0,0,0,62,61,55
64,0,********,5,1,1,1,2,1,0.0,1,0,59,58,59
65,1,********,5,1,1,1,0,1,1.0,0,1,63,62,58
66,1,********,5,0,1,1,2,1,4.0,1,0,45,37,37
67,0,********,4,1,1,1,1,0,3.0,1,0,61,73,75
68,1,********,0,0,1,0,1,0,3.0,1,3,62,58,57
69,0,********,0,1,1,2,2,1,3.0,1,0,39,64,57
71,1,********,4,1,0,0,2,1,3.0,0,2,64,55,64
72,0,********,0,0,1,2,1,1,1.0,0,0,42,51,49
73,1,********,5,0,1,0,0,1,3.0,1,0,59,56,54
74,1,********,5,1,2,1,2,1,2.0,0,1,47,48,40
75,1,********,0,0,1,0,2,0,2.1458942516082424,1,0,44,41,38
76,1,********,5,1,1,4,2,0,5.0,1,0,28,25,21
77,1,********,6,1,0,4,1,1,2.1458942516082424,2,0,82,79,83
78,0,********,5,1,0,0,2,1,2.0,1,2,62,75,73
79,0,********,3,1,1,0,0,1,1.0,1,0,60,68,68
80,0,********,0,1,1,1,1,1,0.0,0,2,49,50,52
81,1,********,2,0,1,1,2,1,0.0,0,3,49,45,45
82,1,********,4,0,0,1,2,0,2.1458942516082424,1,0,50,47,54
83,1,********,0,1,1,1,1,1,0.0,0,0,74,64,64
84,1,********,2,0,1,1,0,2,3.0,0,0,40,38,33
85,0,********,4,1,1,0,2,1,0.0,0,0,73,80,82
86,0,********,4,0,1,1,2,1,2.1458942516082424,1,1,73,81,86
87,0,********,0,1,1,2,2,1,0.0,0,0,71,71,74
88,0,********,4,1,1,0,1,1,3.0,1,1,57,69,67
89,0,********,5,1,1,2,2,1,2.1458942516082424,0,2,75,87,83
91,1,********,2,0,1,0,1,0,4.0,2,0,27,34,36
92,1,********,2,1,1,0,2,0,1.0,2,1,68,77,69
93,1,********,0,0,0,1,1,0,3.0,0,2,45,46,52
94,0,********,4,1,1,1,1,1,4.0,0,0,81,87,94
96,1,********,5,1,0,1,1,1,5.0,1,0,63,65,61
97,0,********,4,1,0,1,0,1,0.0,1,1,59,69,66
98,0,********,4,0,1,2,1,1,2.0,2,2,61,69,64
99,0,********,1,1,1,1,1,1,3.0,1,1,64,66,62
100,1,********,4,1,1,1,2,0,7.0,1,0,79,67,67
101,1,********,1,1,0,2,2,0,1.0,0,0,68,74,74
102,0,********,0,1,1,1,1,1,3.0,1,0,87,92,91
103,1,********,2,1,0,1,1,0,3.0,1,0,61,44,48
104,1,********,4,1,0,1,1,1,1.0,1,2,100,88,94
105,0,********,4,1,1,1,2,1,0.0,1,0,58,67,72
106,0,********,3,1,1,1,2,0,3.0,0,0,87,100,100
107,1,********,6,1,0,2,2,1,0.0,1,0,66,63,64
108,0,********,0,0,1,1,2,1,2.0,1,0,52,76,70
109,0,********,5,1,1,2,1,0,3.0,1,0,72,64,73
110,0,********,0,0,0,2,2,1,4.0,1,2,79,90,99
111,1,********,2,1,1,2,1,0,6.0,2,0,63,55,50
112,1,********,0,1,1,1,2,1,0.0,1,0,54,53,47
113,0,********,4,1,1,1,0,1,1.0,1,1,47,56,51
114,0,********,1,1,0,1,1,1,3.0,1,1,98,99,100
115,1,********,2,1,1,1,2,1,4.0,0,0,84,77,74
116,0,********,1,0,1,2,0,0,1.0,1,0,72,83,79
117,0,********,1,1,1,1,0,0,2.0,0,0,75,80,77
118,0,********,5,1,1,2,1,1,0.0,0,2,54,64,63
119,0,********,4,1,1,0,2,0,3.0,1,0,55,69,65
120,0,********,1,1,0,1,0,1,1.0,1,0,76,90,86
121,1,********,0,1,0,1,2,1,3.0,1,1,88,87,90
122,0,********,4,1,0,2,1,1,1.0,2,0,90,94,95
123,1,********,2,0,1,1,2,0,3.0,0,3,63,57,56
124,1,********,4,1,1,2,1,0,3.0,1,1,82,79,73
125,0,********,2,1,1,2,0,1,2.0,1,2,86,94,85
126,1,********,6,1,1,1,3,0,3.0,0,0,72,68,67
127,1,********,4,1,2,1,1,0,3.0,1,1,64,76,74
128,1,********,3,1,1,2,0,1,2.0,0,1,77,81,72
129,0,********,1,1,1,4,1,1,0.0,1,0,52,49,52
130,1,********,3,1,1,2,2,0,1.0,1,1,87,84,82
131,1,********,5,0,0,2,1,1,1.0,0,1,52,36,40
132,1,********,4,0,0,1,1,1,2.0,1,0,89,75,71
133,0,********,4,1,0,1,0,0,6.0,2,1,70,78,80
134,1,********,1,0,0,1,2,1,1.0,0,2,76,80,76
135,1,********,1,1,1,1,2,1,1.0,2,1,56,54,47
136,1,********,5,1,0,0,2,1,1.0,0,0,51,54,41
137,1,********,2,1,1,0,2,1,0.0,1,1,67,54,54
138,0,********,0,1,2,1,2,1,1.0,0,0,59,66,67
139,1,********,4,1,0,1,2,1,0.0,0,2,73,61,70
140,0,********,5,1,1,1,2,0,1.0,1,0,76,72,71
141,0,********,4,0,1,1,1,0,2.0,0,0,60,62,65
142,0,********,4,0,0,2,1,2,1.0,0,1,41,54,54
143,1,********,2,1,1,2,2,0,1.0,1,0,57,43,47
144,1,********,4,1,1,0,2,1,3.0,0,2,90,74,79
145,0,********,4,0,1,2,1,1,1.0,1,1,21,38,33
148,0,********,1,1,0,1,2,1,1.0,0,1,65,73,79
149,1,********,0,0,0,1,1,0,3.0,0,0,100,100,95
150,1,********,5,1,0,1,2,0,2.0,0,0,62,67,69
152,0,********,0,1,0,2,2,1,2.0,1,1,57,68,64
153,1,********,1,1,1,1,2,0,1.0,2,0,54,49,47
154,1,********,5,1,1,2,0,0,2.0,2,1,58,65,58
155,0,********,4,1,0,1,1,1,3.0,1,1,69,88,88
156,0,********,2,0,0,1,1,1,1.0,1,0,67,75,79
157,1,********,6,0,1,4,2,1,2.0,1,1,58,59,58
158,0,********,0,1,2,0,1,1,2.0,0,0,62,87,89
159,1,********,0,0,1,1,1,0,3.0,1,2,70,63,66
160,1,********,0,0,0,2,2,1,2.0,0,0,82,78,74
161,0,********,4,0,0,1,2,1,3.0,1,0,75,88,85
162,1,********,3,0,1,2,0,0,2.0,1,0,48,53,52
163,1,********,2,1,1,0,2,1,1.0,1,0,52,53,49
164,0,********,3,1,1,1,0,1,3.0,0,1,76,89,86
165,0,********,1,1,0,1,2,1,0.0,1,0,96,100,100
166,1,********,2,0,0,2,2,1,5.0,0,0,53,51,51
167,0,********,3,0,0,1,1,0,1.0,0,2,62,79,83
168,0,********,2,1,0,1,1,1,2.0,0,0,70,84,79
170,1,********,2,1,0,0,1,1,5.0,1,2,76,75,77
171,1,********,5,1,1,1,2,0,3.0,1,1,91,86,76
172,0,********,4,1,1,2,0,1,3.0,1,0,76,84,78
173,0,********,0,1,1,1,2,1,2.0,1,0,63,67,70
174,0,********,1,0,0,1,2,0,1.0,1,1,41,50,52
175,0,********,3,1,0,0,2,1,1.0,1,0,81,92,89
176,0,********,2,0,0,1,2,0,2.0,1,1,44,53,56
177,0,********,0,1,0,1,1,1,2.1458942516082424,1,1,70,76,77
178,0,********,3,0,0,0,1,1,2.0,1,0,54,72,65
179,0,********,5,1,0,0,1,1,0.0,1,0,99,100,100
180,1,********,3,0,0,2,2,1,2.0,0,1,60,68,75
181,0,********,4,0,1,2,2,1,1.0,0,0,46,64,66
182,0,********,2,1,1,1,2,1,3.0,0,3,50,50,47
183,0,********,0,1,1,2,2,0,2.1458942516082424,0,1,63,67,68
185,1,********,0,0,0,1,0,1,5.0,0,1,61,65,62
186,1,********,2,1,1,1,0,1,1.0,1,1,75,73,62
187,1,********,5,1,0,1,2,0,4.0,0,0,62,66,68
188,1,********,5,0,1,1,1,0,3.0,1,1,47,51,45
189,0,********,1,1,1,2,2,1,1.0,1,1,74,86,85
190,0,********,0,1,1,1,2,1,2.0,1,0,66,65,69
191,1,********,4,1,0,1,2,0,2.0,1,1,73,81,77
192,0,********,5,1,1,2,2,0,3.0,0,3,62,64,66
193,1,********,4,1,0,1,1,1,4.0,2,3,79,62,63
194,0,********,3,1,0,4,1,1,1.0,1,1,69,85,87
195,1,********,0,1,1,1,1,0,4.0,1,1,60,54,52
196,1,********,6,0,0,1,0,1,1.0,1,0,57,67,63
197,1,********,2,0,1,1,3,0,7.0,0,2,56,56,52
198,0,********,4,0,1,3,1,1,3.0,2,2,47,54,57
199,0,********,1,0,2,1,1,1,3.0,0,0,80,80,77
200,0,********,0,1,0,2,1,0,1.0,0,1,66,83,86
201,0,********,4,0,1,0,2,1,3.0,1,1,63,79,75
202,1,********,0,1,1,1,2,1,2.0,1,0,69,77,69
203,0,********,0,1,1,4,1,1,2.0,1,0,58,70,69
204,1,********,4,1,1,2,1,1,1.0,2,1,58,40,42
205,1,********,5,1,0,1,3,1,2.1458942516082424,1,1,71,69,76
206,1,********,1,1,1,1,1,1,4.0,1,0,84,62,63
207,1,********,2,1,0,1,1,0,2.0,1,0,83,81,77
208,0,********,4,0,1,1,1,1,1.0,0,1,73,80,76
209,0,********,4,0,2,2,2,0,2.0,2,3,58,61,66
210,1,********,5,0,0,3,2,1,3.0,1,1,77,77,77
211,1,********,4,0,2,1,2,1,3.0,1,0,35,28,27
212,0,********,2,0,1,0,2,1,2.0,1,0,42,62,60
213,1,********,0,0,0,2,1,0,1.0,1,0,61,51,57
214,1,********,2,1,2,1,2,1,1.0,0,0,87,91,81
215,1,********,5,1,0,4,1,0,2.0,0,0,86,84,76
216,0,********,0,0,0,1,2,1,3.0,1,1,80,84,86
217,0,********,2,0,2,1,1,0,3.0,2,1,33,41,39
218,1,********,2,0,1,1,2,0,2.0,1,1,64,75,68
219,1,********,5,1,0,2,0,0,1.0,2,0,59,55,54
220,0,********,2,1,0,3,1,1,4.0,1,0,57,69,75
221,1,********,0,1,1,1,2,1,0.0,1,2,89,86,74
222,0,********,5,0,2,0,2,0,3.0,2,0,55,65,62
223,1,********,5,1,1,1,1,0,3.0,1,0,88,81,76
224,0,********,0,1,0,0,1,2,3.0,1,2,55,67,76
225,0,********,3,0,1,1,2,0,2.1458942516082424,0,1,43,55,52
226,0,********,4,1,1,1,2,1,5.0,1,0,72,72,71
227,1,********,2,1,1,2,1,1,0.0,1,0,58,50,55
228,1,********,6,0,1,0,2,0,4.0,1,0,68,72,64
229,0,********,4,1,0,1,1,1,3.0,1,2,93,97,98
230,1,********,4,1,1,1,1,1,0.0,2,0,78,64,67
231,1,********,0,1,1,1,1,2,1.0,0,0,47,43,43
232,0,********,1,1,1,1,2,1,2.0,1,0,67,86,83
233,1,********,5,1,1,0,2,1,3.0,1,2,94,88,79
234,1,********,1,1,0,1,2,0,3.0,1,2,85,83,85
235,1,********,0,1,1,1,1,0,1.0,1,2,84,77,80
236,1,********,1,0,1,0,1,0,2.0,1,1,62,65,67
237,0,********,5,1,2,1,2,1,4.0,1,1,62,59,72
238,1,********,4,1,1,1,1,1,2.0,0,2,57,53,53
239,1,********,0,1,1,4,2,1,1.0,0,0,84,80,80
240,1,********,2,0,0,0,3,1,1.0,0,2,75,69,67
241,0,********,1,1,1,2,1,0,4.0,0,0,82,84,85
243,1,********,4,1,2,2,1,0,2.0,1,1,58,50,43
244,1,********,5,1,1,0,1,1,1.0,1,1,74,73,69
245,1,********,0,1,1,1,2,0,3.0,0,1,82,74,69
246,1,********,0,1,2,1,1,0,2.0,1,0,91,77,75
247,0,********,2,1,0,2,2,1,1.0,0,0,58,70,68
248,0,********,2,1,1,1,2,1,2.0,0,1,63,63,60
249,1,********,2,1,1,1,2,0,2.0,1,2,70,60,54
250,1,********,5,1,0,2,2,1,2.0,1,0,47,49,49
251,0,********,4,0,1,1,1,2,4.0,1,1,70,82,83
252,0,********,5,1,0,2,2,1,3.0,0,0,60,70,70
253,1,********,3,1,1,1,2,0,3.0,1,3,80,80,72
254,1,********,2,1,1,1,2,1,0.0,0,0,54,52,52
255,0,********,4,1,1,2,2,0,1.0,1,0,62,73,70
256,0,********,0,0,1,2,2,0,5.0,0,1,62,71,66
257,1,********,0,1,0,1,1,2,1.0,1,0,80,78,78
260,0,********,5,0,0,1,2,1,1.0,0,2,65,80,78
261,1,********,4,1,0,1,2,0,2.0,1,0,79,79,78
262,0,********,5,0,1,1,1,0,2.0,0,0,45,50,52
263,0,********,2,1,1,2,2,1,1.0,0,0,99,93,90
264,1,********,2,1,1,1,2,0,2.0,0,0,76,73,68
265,1,********,5,0,1,0,2,0,1.0,1,1,57,41,40
266,0,********,1,1,1,1,2,0,2.0,1,1,61,73,79
267,0,********,2,1,1,1,1,0,3.0,1,0,71,73,78
268,0,********,0,1,0,1,1,1,5.0,1,2,93,94,99
269,0,********,4,0,1,1,2,0,2.0,1,3,71,76,70
270,1,********,1,1,1,1,2,1,2.0,1,0,69,63,61
271,1,********,4,1,2,2,1,1,1.0,2,1,57,48,42
272,0,********,0,0,1,2,1,1,2.0,0,0,48,53,59
273,0,********,4,1,1,1,2,0,2.0,0,0,65,70,71
274,1,********,4,1,0,3,3,1,1.0,1,1,85,83,74
275,1,********,1,1,1,1,2,0,3.0,1,0,83,78,73
276,0,********,5,1,0,1,2,1,3.0,0,1,82,90,91
277,0,********,6,1,0,2,2,0,4.0,1,1,57,62,73
278,0,********,5,0,1,1,2,1,1.0,1,0,65,86,80
279,1,********,1,0,1,3,2,0,2.0,1,0,73,56,57
281,1,********,2,1,1,0,2,0,2.1458942516082424,0,0,45,48,46
282,0,********,1,0,1,0,1,0,3.0,1,0,75,80,86
283,0,********,4,0,0,4,0,1,2.0,1,0,67,76,76
284,0,********,5,1,1,1,1,1,0.0,0,1,36,45,46
285,1,********,0,1,0,1,0,1,3.0,1,0,78,80,79
286,1,********,0,1,0,1,1,1,0.0,0,0,99,83,90
287,0,********,5,1,1,1,2,0,1.0,1,1,64,87,80
288,1,********,1,0,1,2,2,1,0.0,2,1,85,73,74
289,1,********,5,1,0,1,2,1,1.0,1,2,79,77,78
290,1,********,0,1,1,1,2,0,2.0,1,0,76,70,68
291,1,********,5,1,1,1,2,1,2.0,0,1,83,71,68
292,1,********,5,1,0,1,0,1,1.0,0,0,61,59,55
293,0,********,1,1,1,1,2,1,2.1458942516082424,1,2,66,74,76
294,1,********,2,0,0,2,1,1,3.0,1,0,80,78,82
295,1,********,0,0,1,1,0,1,1.0,1,2,66,61,59
296,1,********,5,1,0,3,1,0,2.0,1,0,47,41,44
297,1,********,0,1,0,2,1,0,1.0,1,0,73,75,69
298,1,********,6,0,0,2,1,0,2.0,0,1,39,45,50
299,1,********,0,0,1,1,1,0,2.0,2,1,89,86,75
300,1,********,4,0,0,1,0,1,2.0,0,1,76,75,77
301,1,********,5,0,2,0,1,0,4.0,1,1,55,53,52
302,0,********,0,1,0,2,0,1,5.0,1,2,66,83,80
303,1,********,0,1,1,1,1,1,1.0,1,0,82,77,65
304,0,********,0,1,0,1,1,1,2.0,1,0,76,76,85
305,1,********,4,1,1,4,2,1,7.0,0,0,69,67,69
306,1,********,4,1,0,0,1,1,5.0,0,0,100,88,83
307,1,********,5,1,1,2,1,0,2.0,2,0,52,52,45
308,0,********,0,0,1,1,1,0,3.0,0,2,56,73,70
309,0,********,2,0,2,2,1,1,5.0,2,1,48,56,52
310,0,********,0,1,1,1,2,0,2.0,1,0,73,76,80
311,1,********,1,1,1,1,0,1,3.0,1,1,62,58,54
312,1,********,1,1,0,2,2,1,0.0,0,3,67,61,68
313,0,********,0,0,0,2,2,1,2.0,0,2,70,68,70
315,1,********,2,1,1,1,1,0,3.0,0,0,73,66,66
316,0,********,3,1,0,3,0,1,3.0,0,0,74,80,88
317,1,********,0,1,1,2,2,0,1.0,1,0,83,72,78
318,1,********,1,1,1,1,2,1,2.1458942516082424,0,1,61,69,67
319,0,********,0,0,1,2,1,0,1.0,1,1,55,64,63
320,0,********,2,0,2,0,2,1,2.0,2,1,64,77,82
321,0,********,2,1,1,1,0,0,3.0,0,2,74,85,78
322,0,********,4,1,1,1,1,1,2.0,0,1,70,80,80
323,0,********,5,0,1,1,2,1,5.0,0,0,40,52,51
324,0,********,2,0,1,0,2,0,1.0,2,1,39,45,42
325,0,********,4,1,1,2,2,1,3.0,1,0,82,90,94
326,1,********,4,1,1,1,2,1,1.0,1,0,61,61,62
327,1,********,4,0,1,1,1,1,2.0,1,2,29,23,19
328,1,********,0,1,0,1,2,1,5.0,1,0,82,75,77
329,0,********,5,1,1,1,2,1,2.0,1,1,39,54,49
330,1,********,2,1,1,2,1,1,2.1458942516082424,1,1,70,59,61
331,1,********,0,1,1,4,2,0,3.0,0,1,45,36,34
332,1,********,0,1,0,1,0,0,3.0,1,2,61,55,52
333,1,********,0,1,1,2,2,1,1.0,1,0,90,78,81
334,0,********,1,1,1,4,2,1,1.0,2,3,83,93,95
335,0,********,4,0,1,1,1,1,2.0,2,0,62,69,67
336,1,********,5,1,0,1,1,0,2.1458942516082424,0,0,78,71,70
337,1,********,0,1,1,2,1,1,2.0,2,0,50,51,44
338,0,********,5,0,1,2,2,0,3.0,1,1,23,37,26
339,0,********,5,0,0,1,2,1,3.0,1,0,35,55,60
340,1,********,2,0,1,1,1,1,1.0,1,2,61,62,54
341,0,********,6,1,1,1,1,1,0.0,2,0,62,74,64
342,0,********,6,1,0,2,2,1,1.0,1,1,66,74,72
343,1,********,0,1,0,2,2,1,3.0,0,1,64,70,65
344,1,********,4,1,1,4,1,1,2.0,1,1,78,72,67
345,0,********,2,1,1,1,2,1,4.0,0,0,72,80,75
346,1,********,6,1,1,1,2,0,2.0,1,0,62,61,57
347,0,********,1,1,0,1,1,1,0.0,2,1,76,93,95
349,1,********,0,1,1,0,1,1,2.0,0,2,92,76,79
350,0,********,1,1,1,1,2,1,0.0,0,0,52,65,69
351,1,********,4,1,1,1,3,0,4.0,1,2,67,57,53
352,0,********,4,1,0,1,2,0,1.0,1,1,61,76,78
353,0,********,0,1,1,1,1,0,1.0,0,1,45,57,57
354,0,********,4,1,1,1,0,1,2.0,2,1,55,68,66
355,0,********,1,1,1,2,1,0,3.0,1,2,64,74,73
356,1,********,6,1,1,1,2,0,2.0,0,0,63,61,61
357,0,********,4,0,0,1,2,1,1.0,0,1,40,65,67
359,0,********,4,1,1,0,2,0,1.0,0,1,77,88,87
360,0,********,2,1,1,1,0,1,1.0,1,0,56,61,57
361,1,********,5,1,0,2,1,1,3.0,0,0,87,85,79
362,0,********,4,1,1,2,1,0,2.0,0,0,53,58,59
363,0,********,5,0,1,2,2,0,3.0,1,1,26,33,31
364,1,********,4,1,1,0,1,1,1.0,1,0,60,60,59
365,1,********,1,0,0,1,1,0,2.0,0,2,51,59,62
366,1,********,2,1,0,1,2,1,2.0,2,0,69,58,53
367,1,********,1,0,1,1,1,2,3.0,0,2,64,67,63
368,0,********,5,0,1,2,2,1,2.0,0,0,44,64,58
369,0,********,5,1,1,2,1,1,5.0,1,0,71,83,84
370,1,********,4,1,1,1,1,1,3.0,0,0,86,78,72
371,0,********,4,0,0,2,2,0,4.0,1,0,45,73,70
372,1,********,5,1,1,2,2,1,0.0,0,2,76,75,73
373,0,********,4,1,0,1,2,1,1.0,0,2,84,98,97
374,0,********,1,1,1,1,2,1,0.0,2,2,60,71,74
376,0,********,5,1,1,2,2,0,2.0,1,2,82,91,83
377,0,********,3,0,0,2,2,1,2.1458942516082424,0,0,85,95,100
378,0,********,5,1,1,2,2,0,1.0,0,2,73,84,78
379,1,********,1,1,1,1,1,1,1.0,0,0,67,64,63
380,0,********,0,1,1,2,2,1,1.0,1,0,80,86,83
381,1,********,0,1,0,0,2,1,0.0,0,1,84,98,93
382,1,********,3,0,1,1,2,0,2.0,2,0,79,82,73
383,0,********,5,0,1,0,1,1,3.0,0,2,40,50,47
384,0,********,5,0,1,0,0,0,5.0,0,0,35,41,40
385,0,********,4,1,1,0,1,1,2.0,0,0,69,77,76
386,0,********,1,1,1,2,2,1,0.0,1,1,62,71,68
387,0,********,6,0,1,3,1,1,4.0,1,0,58,79,68
388,0,********,2,1,1,2,2,1,3.0,0,0,62,64,64
389,1,********,3,1,1,1,2,0,1.0,1,1,71,70,75
390,1,********,5,0,0,2,1,1,0.0,0,0,75,68,60
391,0,********,4,1,1,2,2,0,3.0,0,1,74,66,75
392,1,********,4,1,1,1,2,1,3.0,1,2,78,68,68
393,1,********,0,1,0,0,1,1,4.0,0,2,60,55,58
394,0,********,5,1,0,2,2,0,2.1458942516082424,1,0,65,74,77
396,0,********,2,0,1,1,0,0,5.0,1,0,48,65,61
398,1,********,5,1,1,2,1,1,0.0,1,1,73,62,57
399,1,********,5,1,1,2,0,0,4.0,0,1,56,57,51
400,0,********,5,1,0,1,1,1,3.0,0,0,60,54,68
401,1,********,4,1,2,1,2,0,1.0,1,3,53,43,43
402,0,********,4,0,1,1,1,0,2.0,1,2,51,66,57
403,0,********,2,1,0,2,2,1,4.0,0,0,88,99,100
404,0,********,2,1,1,2,1,1,0.0,1,0,55,59,63
405,0,********,5,1,1,1,1,1,2.1458942516082424,2,1,62,72,68
406,1,********,0,1,0,1,1,0,3.0,1,2,68,66,65
407,0,********,0,1,2,1,1,1,3.0,1,0,84,81,78
408,0,********,2,0,0,0,2,0,2.0,1,0,52,57,56
409,1,********,0,1,0,3,0,0,5.0,1,2,86,83,84
410,0,********,3,1,0,4,1,1,2.0,0,0,72,73,78
411,1,********,4,1,0,3,1,1,4.0,1,0,86,84,79
412,1,********,0,1,1,1,2,1,3.0,0,3,71,66,60
414,0,********,6,0,2,1,1,1,3.0,1,0,52,73,80
415,1,********,2,1,1,2,1,0,3.0,0,0,86,74,70
416,1,********,1,1,0,1,2,1,3.0,0,1,68,72,66
417,1,********,0,1,1,1,2,1,3.0,2,1,71,71,65
418,1,********,4,1,1,1,1,0,4.0,0,0,70,59,63
419,1,********,2,0,0,1,2,0,3.0,0,0,57,56,54
421,0,********,2,1,0,1,1,0,2.0,2,1,56,57,64
422,0,********,3,0,0,0,0,1,0.0,0,2,47,59,68
423,0,********,5,1,0,1,2,1,0.0,2,1,57,83,78
424,1,********,4,0,1,1,3,0,2.0,0,0,41,39,34
425,0,********,4,0,1,2,2,1,3.0,1,1,60,65,60
426,1,********,1,1,1,1,1,1,2.0,1,0,88,84,88
427,1,********,5,0,1,2,1,1,0.0,0,0,71,72,66
428,1,********,5,0,2,2,2,1,1.0,0,3,65,59,53
429,1,********,5,0,1,1,2,0,3.0,1,2,70,63,55
430,1,********,0,0,1,1,2,2,1.0,0,1,62,65,57
431,0,********,2,1,1,2,2,1,3.0,1,3,61,72,70
432,1,********,2,1,1,2,0,1,4.0,1,1,57,54,52
433,0,********,5,0,1,0,2,0,2.1458942516082424,1,1,45,58,49
434,1,********,6,1,1,1,2,0,1.0,2,2,75,66,67
435,1,********,4,0,0,1,2,0,7.0,0,0,50,48,53
436,1,********,0,1,1,1,1,1,3.0,1,0,77,69,65
437,1,********,6,0,1,0,2,1,1.0,0,0,75,66,73
438,1,********,2,1,2,2,1,1,0.0,1,1,69,55,51
439,1,********,5,1,0,1,2,2,0.0,1,0,89,88,82
440,0,********,6,1,0,2,1,0,1.0,1,0,69,82,80
441,0,********,2,1,1,1,2,1,2.0,2,3,78,81,80
442,0,********,5,0,1,1,2,1,2.0,1,0,59,73,69
443,0,********,0,1,1,4,2,0,1.0,1,1,70,81,74
444,1,********,5,0,1,1,2,1,0.0,1,0,79,82,73
445,0,********,5,1,0,0,1,2,3.0,2,0,69,75,78
446,1,********,4,0,1,4,1,1,1.0,1,2,73,67,62
447,1,********,2,1,0,2,1,1,2.0,1,2,91,83,83
448,1,********,2,1,1,3,1,1,4.0,1,0,48,46,43
449,1,********,0,1,1,2,1,1,2.1458942516082424,1,0,83,74,73
450,0,********,4,0,0,0,2,1,3.0,0,0,64,85,85
451,0,********,4,1,1,1,2,2,5.0,1,0,100,92,97
452,0,********,0,0,1,1,1,0,1.0,1,2,68,79,77
